"Drawing Date","Winning Numbers","Powerball","Powerplay"
"2020-09-19","11 - 14 - 23 - 47 - 57","14","x4"
"2020-09-16","10 - 17 - 31 - 51 - 53","1","x2"
"2020-09-12","16 - 17 - 20 - 53 - 67","4","x2"
"2020-09-09","27 - 52 - 55 - 60 - 64","21","x3"
"2020-09-05","15 - 21 - 22 - 27 - 47","7","x2"
"2020-09-02","1 - 4 - 11 - 20 - 69","18","x2"
"2020-08-29","5 - 21 - 22 - 29 - 43","10","x2"
"2020-08-26","8 - 12 - 19 - 47 - 58","2","x2"
"2020-08-22","19 - 30 - 36 - 42 - 66","14","x3"
"2020-08-19","13 - 23 - 47 - 55 - 58","23","x10"
"2020-08-15","5 - 12 - 34 - 45 - 56","3","x3"
"2020-08-12","2 - 6 - 18 - 36 - 37","21","x2"
"2020-08-08","2 - 3 - 14 - 40 - 51","24","x3"
"2020-08-05","7 - 14 - 17 - 57 - 65","24","x5"
"2020-08-01","6 - 25 - 36 - 43 - 48","24","x3"
"2020-07-29","7 - 29 - 35 - 40 - 45","26","x2"
"2020-07-25","5 - 21 - 36 - 61 - 62","18","x2"
"2020-07-22","16 - 25 - 36 - 44 - 55","14","x3"
"2020-07-18","13 - 16 - 32 - 58 - 59","9","x2"
"2020-07-15","27 - 47 - 61 - 62 - 69","4","x10"
"2020-07-11","14 - 19 - 61 - 62 - 64","4","x2"
"2020-07-08","3 - 10 - 34 - 36 - 62","5","x10"
"2020-07-04","16 - 21 - 27 - 60 - 61","6","x2"
"2020-07-01","15 - 28 - 52 - 53 - 63","18","x4"
"2020-06-27","9 - 36 - 49 - 56 - 62","8","x2"
"2020-06-24","15 - 22 - 27 - 33 - 46","23","x3"
"2020-06-20","10 - 31 - 41 - 63 - 67","5","x3"
"2020-06-17","7 - 10 - 63 - 64 - 68","10","x3"
"2020-06-13","2 - 12 - 32 - 50 - 65","5","x3"
"2020-06-10","10 - 33 - 41 - 52 - 54","18","x5"
"2020-06-06","1 - 17 - 38 - 68 - 69","18","x2"
"2020-06-03","1 - 3 - 26 - 41 - 64","17","x2"
"2020-05-30","13 - 32 - 41 - 58 - 60","14","x2"
"2020-05-27","38 - 58 - 59 - 64 - 68","21","x3"
"2020-05-23","2 - 8 - 18 - 21 - 23","16","x4"
"2020-05-20","18 - 34 - 40 - 42 - 50","9","x2"
"2020-05-16","8 - 12 - 26 - 39 - 42","11","x2"
"2020-05-13","39 - 53 - 54 - 56 - 57","20","x3"
"2020-05-09","12 - 18 - 42 - 48 - 65","19","x5"
"2020-05-06","7 - 8 - 35 - 50 - 65","20","x4"
"2020-05-02","13 - 16 - 33 - 58 - 68","24","x5"
